sample_id,human_completeness,human_faithfulness,human_sign_agreement,human_rank_agreement,llm_completeness,llm_faithfulness,llm_sign_agreement,llm_rank_agreement,llm_sign_agreement_pct,llm_rank_agreement_pct
0,8,8,4,4,8.0,8.0,4.0,4.0,80.0,80.0
1,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
2,8,7,4,3,8.0,7.0,4.0,3.0,80.0,60.0
3,6,6,3,3,6.0,6.0,3.0,3.0,60.0,60.0
4,8,7,4,3,8.0,7.0,4.0,3.0,80.0,60.0
5,10,9,4,5,10.0,9.0,4.0,5.0,80.0,100.0
6,10,9,4,5,10.0,9.0,4.0,5.0,80.0,100.0
7,8,7,4,3,8.0,7.0,4.0,3.0,80.0,60.0
8,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
9,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
10,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
11,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
12,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
13,6,6,3,3,6.0,6.0,3.0,3.0,60.0,60.0
14,10,9,4,5,10.0,9.0,4.0,5.0,80.0,100.0
15,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
16,8,7,4,3,8.0,7.0,4.0,3.0,80.0,60.0
17,8,7,3,4,8.0,7.0,3.0,4.0,60.0,80.0
18,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
19,10,8,3,5,10.0,8.0,3.0,5.0,60.0,100.0
20,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
21,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
22,8,7,4,3,8.0,7.0,4.0,3.0,80.0,60.0
23,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
24,10,7,3,4,10.0,7.0,3.0,4.0,60.0,80.0
25,10,9,4,5,10.0,9.0,4.0,5.0,80.0,100.0
26,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
27,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
28,6,6,3,3,6.0,6.0,3.0,3.0,60.0,60.0
29,10,10,5,5,10.0,10.0,5.0,5.0,100.0,100.0
